A,,B,AL,AN,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
,,P100 E5-2690v4,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=84470091517907062056&cm_mc_sid_52640000=53878961517907062058,IBM P100 E5-2690v4,,,,1739,,,,USD,2.3296,9.34,P100,1,Xeon E5-2690 v4,2,128,SSD,960,,,10/10,,,500GB of Internet traffic included.,34,,
,,M60 E5-2620v4,https://www.softlayer.com/cloud-computing/bluemix/store/orderHourlyBareMetalInstance/178087/171?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792638,IBM M60 2620v4,,2.799,,,,,,USD,1.0752,9.65,M60,1,Xeon E5-2620 v4,2,128,SATA,1000,SATA RAID1 ,1000,10/10,,,No Internet traffic included.,35,,
,,M60x2 E5-2690v4,https://www.softlayer.com/cloud-computing/bluemix/store/orderHourlyBareMetalInstance/178055/177?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792638,IBM M60x2 2690v4,,4.975,,,,,,USD,2.3296,19.3,M60,2,Xeon E5-2690 v4,2,256,SATA,4000,SATA RAID1,4000,10/10,,,No Internet traffic included.,36,,
,,M60 E5-2620v3,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/47057,168829,2397?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM M60 2620v3,,,,1469,,,,USD,0.9216,9.65,M60,1,Xeon E5-2620 v3,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,37,,
,,M60 E5-2650v3,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/47057,168829,2397?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=84470091517907062056&cm_mc_sid_52640000=53878961517907062058",IBM M60 2650v3,,,,1549,,,,USD,1.472,9.65,M60,1,Xeon E5-2650 v3,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,38,,
,,M60x2 E5-2620v4,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/553/176647,168829?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM M60x2 2620v4,,,,2425,,,,USD,1.0752,19.3,M60,2,Xeon E5-2620 v4,2,128,SSD,960,,,10/10,,,500 GB of Internet traffic included.,39,,
,,M60x2 E5-2690v4,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/553/178055,168829?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM M60x2 2690v4,,,,2975,,,,USD,2.3296,19.3,M60,2,Xeon E5-2690 v4,2,256,SSD,960,,,10/10,,,500 GB of Internet traffic included.,40,,
,,2xK80 E5-2620v4,https://www.softlayer.com/cloud-computing/bluemix/Store/orderHourlyBareMetalInstance/178087/153?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM 2xK80 E5-2620v4,,5.377,,,,,,USD,1.0752,17.48,K80,2,Xeon E5-2620 v4,2,128,SSD,800,SSD,800,0.1/0.1,,,No Internet traffic included.,41,,
,,K80 E5-2690v3,https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/47057%2C46480%2C2397?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM K80 E5-2690v3,,,,1529,,,,USD,1.9968,8.74,K80,1,Xeon E5-2690 v3,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,42,,
Cirrascale,http://www.cirrascale.com/pricing_x86BM.php,4-GPU x86 Quadro P6000,http://www.cirrascale.com/pricing_x86BM.php,CR P6000x4 x86,,,989,3299,,,,USD,1.408,43.528,Quadro P6000,4,Xeon E5-2630 v4,2,128,SSD,1000,SATA,4000,10/,,,,57,,
